value	title
1	Directeurs, cadres de direction et gérants
2	Professions intellectuelles et scientifiques
3	Professions intermédiaires
4	Employés de type administratif
5	Personnel des services directs aux particuliers, commerçants et vendeurs
6	Agriculteurs et ouvriers qualifiés de l'agriculture, de la sylviculture et de la pêche
7	Métiers qualifiés de l'industrie et de l'artisanat
8	Conducteurs d'installations et de machines, et ouvriers de l'assemblage
9	Professions élémentaires
0	Professions militaires
