value	title	parentvalue
11	Chief Executives, Senior Officials and Legislators	1
12	Administrative and Commercial Managers	1
13	Production and Specialized Services Managers	1
14	Hospitality, Retail and Other Services Managers	1
21	Science and Engineering Professionals	2
22	Health Professionals	2
23	Teaching Professionals	2
24	Business and Administration Professionals	2
25	Information and Communications Technology Professionals	2
26	Legal, Social and Cultural Professionals	2
31	Science and Engineering Associate Professionals	3
32	Health Associate Professionals	3
33	Business and Administration Associate Professionals	3
34	Legal, Social, Cultural and Related Associate Professionals	3
35	Information and Communications Technicians	3
41	General and Keyboard Clerks	4
42	Customer Services Clerks	4
43	Numerical and Material Recording Clerks	4
44	Other Clerical Support Workers	4
51	Personal Services Workers	5
52	Sales Workers	5
53	Personal Care Workers	5
54	Protective Services Workers	5
61	Market-oriented Skilled Agricultural Workers	6
62	Market-oriented Skilled Forestry, Fishery and Hunting Workers	6
63	Subsistence Farmers, Fishers, Hunters and Gatherers	6
71	Building and Related Trades Workers (excluding Electricians)	7
72	Metal, Machinery and Related Trades Workers	7
73	Handicraft and Printing Workers	7
74	Electrical and Electronics Trades Workers	7
75	Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers	7
81	Stationary Plant and Machine Operators	8
82	Assemblers	8
83	Drivers and Mobile Plant Operators	8
91	Cleaners and Helpers	9
92	Agricultural, Forestry and Fishery Labourers	9
93	Labourers in Mining, Construction, Manufacturing and Transport	9
94	Food Preparation Assistants	9
95	Street and Related Sales and Services Workers	9
96	Refuse Workers and Other Elementary Workers	9
1	Commissioned Armed Forces Officers	0
2	Non-commissioned Armed Forces Officers	0
3	Armed Forces Occupations, Other Ranks	0
